Hanging,9133
Electrocution,4185
Lethal Injection,619
Gas,540
Injection,193
Shot,141
Burned,50
unknown,41
Other,24
Hanging 18,11
Break on Wheel,11
Hanging 2,9
Hanging 19,8
Hanging 27,7
Hanging 10,7
Hanging 13,7
Hanging 12,7
Hanging 15,7
Hanging 16,7
Hanging 1,6
Hanging 3,6
Hanging 29,6
Gibbeted,6
Hung in Chains,6
Hanging 30,6
Hanging 20,5
Hanging 26,5
Hanging 14,5
Hanging 4,5
Hanging 21,5
Hanging 7,4
Burned 12,4
Hanging 22,3
Electrocution 4,3
Burned 16,3
Hanging 17,3
Hanging 28,3
Electrocution 28,3
Hanging 5,2
Bludgeoned,2
Hanging 9,2
Hanging 6,2
Burned 21,2
Electrocution 5,2
Electrocution 16,2
Electrocution 2,2
Electrocution 8,2
Electrocution 18,2
Burned 15,2
Electrocution 27,2
Burned 18,1
Break on Wheel11,1
unknown 12,1
Burned 27,1
Hanging 31,1
Burned 4,1
Hung in Chains 11,1
Pressing,1
Burned 14,1
Electrocution 31,1
Firing Squad,1
unknown 15,1
Electrocution 20,1
Hanging 11,1
Electrocution 22,1
Electrocution 1,1
Hung in Chains 4,1
Hung in Chains 3,1
Hanging 23,1
Hanging 24,1
Hanging 8,1
Electrocution 14,1
Shot 20,1
Electrocution 3,1
Burned 11,1
